state,nominal gdp(trillion inr),average_monthly_expense,total_population,total_population_urban,number of households surveyed,female population age 6 years and above who ever attended school (%),"sex ratio of the total population (females per 1,000 males)",hospital_count
 Lakshadweep ,0.0,0.0,0.0,0.0,921.0,93.0,1187.0,0.0
ANDHRA PRADESH,0.0,0.0,3813623.3076923075,1123877.6923076923,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,0.0,0.0,36407.18421052631,8351.815789473685,0.0,0.0,0.0,0.0
ASSAM,0.0,0.0,636518.1428571428,89766.16326530612,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,0.0,0.0,0.0,0.0,874.6666666666666,81.8,963.3333333333334,0.0
Andaman and Nicobar Islands,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,10.81,5768.0,0.0,0.0,872.7692307692307,64.66923076923078,1051.3076923076924,159.0
Arunachal Pradesh,0.234,0.0,0.0,0.0,913.4,69.74,990.3,0.0
Assam,4.09,0.0,0.0,0.0,912.6969696969697,77.83030303030303,1007.5454545454545,5.0
BIHAR,0.0,0.0,2477058.024390244,281003.9512195122,0.0,0.0,0.0,0.0
Bihar,6.86,0.0,0.0,0.0,943.0,60.776315789473685,1089.1842105263158,11.0
CHHATTISGARH,0.0,0.0,936665.4814814815,218801.37037037036,0.0,0.0,0.0,0.0
Chandigarh,0.318,0.0,0.0,0.0,761.0,86.7,917.0,4.0
Chattisgarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Chhattisgarh,3.62,5210.0,0.0,0.0,909.2592592592592,65.69259259259259,1024.962962962963,0.0
Dadra and Nagar Haveli & Daman and Diu,0.0,0.0,0.0,0.0,892.0,77.46666666666665,968.0,0.0
Delhi,8.56,0.0,0.0,0.0,0.0,0.0,0.0,130.0
GUJARAT,0.0,0.0,1343179.6222222222,572188.3111111111,0.0,0.0,0.0,0.0
Goa,0.772,4965.0,0.0,0.0,928.0,88.85,1028.5,5.0
Gujarat,18.85,0.0,0.0,0.0,889.939393939394,70.54848484848485,981.060606060606,115.0
HARYANA,0.0,0.0,1152339.1818181819,401913.7727272727,0.0,0.0,0.0,0.0
HIMACHAL PRADESH,0.0,0.0,572050.1666666666,57379.333333333336,0.0,0.0,0.0,0.0
Haryana,9.4,0.0,0.0,0.0,828.5909090909091,73.53181818181818,928.8636363636364,106.0
Himachal Pradesh,1.82,0.0,0.0,0.0,891.5,78.66666666666667,1038.75,11.0
JAMMU AND KASHMIR,0.0,0.0,612910.85,168561.65,0.0,0.0,0.0,0.0
JHARKHAND,0.0,0.0,1374505.5833333333,330544.2083333333,0.0,0.0,0.0,0.0
Jammu & Kashmir,0.0,0.0,0.0,0.0,904.3,68.52000000000001,949.4,0.0
Jammu Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Jammu and Kashmir,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jharkhand,3.83,5050.0,0.0,0.0,952.625,63.51666666666667,1054.5833333333333,10.0
KARNATAKA,0.0,0.0,1887819.7857142857,765337.0714285715,0.0,0.0,0.0,0.0
KERALA,0.0,0.0,2386147.214285714,1138209.0,0.0,0.0,0.0,0.0
Karnataka,18.05,7625.0,0.0,0.0,885.8,71.60666666666665,1041.4333333333334,327.0
Kerala,9.62,4692.0,0.0,0.0,880.7142857142857,95.02857142857144,1116.2857142857142,44.0
LADAKH,0.0,0.0,137144.5,31004.5,0.0,0.0,0.0,0.0
Ladakh,0.0,0.0,0.0,0.0,909.0,67.94999999999999,971.0,0.0
MADHYA PRADESH,0.0,0.0,1252442.5,346280.3620689655,0.0,0.0,0.0,0.0
MAHARASHTRA,0.0,0.0,3122540.6285714284,1363795.657142857,0.0,0.0,0.0,0.0
MANIPUR,0.0,0.0,166152.88235294117,49067.882352941175,0.0,0.0,0.0,0.0
MEGHALAYA,0.0,0.0,317395.44,76486.92,0.0,0.0,0.0,0.0
MIZORAM,0.0,0.0,72550.46666666666,38118.066666666666,0.0,0.0,0.0,0.0
Madhya Pradesh,0.0,4470.0,0.0,0.0,853.9607843137255,66.34705882352941,970.7450980392157,38.0
Madhya pradesh,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,32.24,0.0,0.0,0.0,0.0,0.0,0.0,521.0
Maharastra,0.0,0.0,0.0,0.0,878.9722222222222,77.42500000000001,979.1944444444445,0.0
Manipur,0.231,0.0,0.0,0.0,875.6666666666666,82.24444444444445,1062.6666666666667,0.0
Meghalaya,0.33,0.0,0.0,0.0,922.5454545454545,85.02727272727272,1032.5454545454545,0.0
Mizoram,0.176,0.0,0.0,0.0,901.625,89.8875,1012.75,0.0
NAGALAND,0.0,0.0,152192.46153846153,43920.46153846154,0.0,0.0,0.0,0.0
NCT of Delhi,0.0,0.0,0.0,0.0,862.3636363636364,83.89090909090909,909.0909090909091,0.0
Nagaland,0.215,0.0,0.0,0.0,919.2727272727273,83.77272727272727,1019.7272727272727,0.0
ODISHA,0.0,0.0,1399361.5333333334,233676.13333333333,0.0,0.0,0.0,0.0
Odisha,5.85,4290.0,0.0,0.0,882.2333333333333,70.21666666666667,1059.4,0.0
Orissa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
PUNJAB,0.0,0.0,1206232.0869565217,452136.7826086957,0.0,0.0,0.0,0.0
Pondicherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Puducherry,0.359,0.0,0.0,0.0,880.0,87.55,1122.75,0.0
Punjab,6.44,0.0,0.0,0.0,855.6363636363636,76.32727272727273,940.2727272727273,117.0
RAJASTHAN,0.0,0.0,1780270.2368421052,445946.2631578947,0.0,0.0,0.0,0.0
Rajasthan,11.33,4415.0,0.0,0.0,964.1515151515151,62.39999999999999,1013.2424242424242,153.0
Sikkim,0.222,0.0,0.0,0.0,879.0,81.725,984.25,0.0
TAMIL NADU,0.0,0.0,1404499.2083333333,630639.75,0.0,0.0,0.0,0.0
TELANGANA,0.0,0.0,967991.28125,302041.9375,0.0,0.0,0.0,0.0
TRIPURA,0.0,0.0,459239.625,120181.625,0.0,0.0,0.0,0.0
Tamil Nadu,20.91,0.0,0.0,0.0,872.78125,79.515625,1107.875,0.0
Tamilnadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0
Telangana,11.08,6220.0,0.0,0.0,882.2903225806451,58.19032258064516,1061.1612903225807,323.0
Tripura,0.461,0.0,0.0,0.0,901.125,81.1,1029.375,0.0
UTTAR PRADESH,0.0,0.0,2571066.4935064935,571900.6493506493,0.0,0.0,0.0,0.0
UTTARAKHAND,0.0,0.0,775868.6153846154,234564.46153846153,0.0,0.0,0.0,0.0
