STATE,REGION_TYPE,REASON_FOR_NON_RESPONSE,RESPONSE_STATUS,HH_WEIGHT_MS,AGE_GROUP,OCCUPATION_GROUP,EDUCATION_GROUP,GENDER_GROUP,SIZE_GROUP,TOTAL_EXPENDITURE,MONTHLY_EXPENSE_ON_FOOD,MONTHLY_EXPENSE_ON_EDIBLE_OILS,MONTHLY_EXPENSE_ON_VEGETABLES_AND_WET_SPICES,MONTHLY_EXPENSE_ON_FRUITS,MONTHLY_EXPENSE_ON_MILK_AND_MILK_PRODUCTS,MONTHLY_EXPENSE_ON_SALTY_SNACKS,MONTHLY_EXPENSE_ON_HEALTH_SUPPLEMENTS,MONTHLY_EXPENSE_ON_TEA,MONTHLY_EXPENSE_ON_COFFEE,MONTHLY_EXPENSE_ON_BOTTLED_WATER,MONTHLY_EXPENSE_ON_INTOXICANTS,MONTHLY_EXPENSE_ON_CIGARETTES_AND_TOBACCO,MONTHLY_EXPENSE_ON_CLOTHING,MONTHLY_EXPENSE_ON_FOOTWEAR,MONTHLY_EXPENSE_ON_CLOTHING_ACCESSORIES,MONTHLY_EXPENSE_ON_COSMETIC_AND_TOILETRIES,MONTHLY_EXPENSE_ON_DETERGENT_BARS,MONTHLY_EXPENSE_ON_DETERGENT_LIQUIDS_AND_POWDER,MONTHLY_EXPENSE_ON_MOBILES_AND_ACCESSORIES,MONTHLY_EXPENSE_ON_RESTAURANTS,MONTHLY_EXPENSE_ON_RECREATION,MONTHLY_EXPENSE_ON_ENTERTAINMENT,MONTHLY_EXPENSE_ON_HOUSE_RENT,MONTHLY_EXPENSE_ON_WATER_CHARGES,MONTHLY_EXPENSE_ON_SOCIETY_CHARGES,MONTHLY_EXPENSE_ON_OTHER_TAXES,MONTHLY_EXPENSE_ON_POWER_AND_FUEL,MONTHLY_EXPENSE_ON_COOKING_FUEL,MONTHLY_EXPENSE_ON_ELECTRICITY,MONTHLY_EXPENSE_ON_TRANSPORT,MONTHLY_EXPENSE_ON_LANDLINE_PHONE,MONTHLY_EXPENSE_ON_CELL_PHONE,MONTHLY_EXPENSE_ON_CABLE_TV,MONTHLY_EXPENSE_ON_INTERNET,MONTHLY_EXPENSE_ON_NEWSPAPERS_AND_MAGAZINES,MONTHLY_EXPENSE_ON_EDUCATION,MONTHLY_EXPENSE_ON_SCHOOL_ACADEMIC_BOOKS,MONTHLY_EXPENSE_ON_FICTION_NON_FICTION_BOOKS,MONTHLY_EXPENSE_ON_STATIONERY,MONTHLY_EXPENSE_ON_SCHOOL_COLLEGE_FEES,MONTHLY_EXPENSE_ON_PRIVATE_TUITION_FEES,MONTHLY_EXPENSE_ON_HOBBY_CLASSES,MONTHLY_EXPENSE_ON_SCHOOL_TRANSPORT,MONTHLY_EXPENSE_ON_HEALTH,MONTHLY_EXPENSE_ON_MEDICINES,MONTHLY_EXPENSE_ON_DOCTORS_PHYSIOTHERAPISTS_FEE,MONTHLY_EXPENSE_ON_MEDICAL_TESTS,MONTHLY_EXPENSE_ON_HYGIENE_PRODUCTS,MONTHLY_EXPENSE_ON_EMI_FOR_HOUSE,MONTHLY_EXPENSE_ON_EMI_FOR_VEHICLES,MONTHLY_EXPENSE_ON_OTHER_EMIS,MONTHLY_EXPENSE_ON_DOMESTIC_HELP,MONTHLY_EXPENSE_ON_POCKET_MONEY,MONTHLY_EXPENSE_ON_PETS
Andhra Pradesh,URBAN,No Failure,Accepted,1959.88,Grown-up - dominant,Non-industrial Technical Employees,Households of all literates,Balanced,3 Members,46128,5768,0,1520,390,1360,610,0,30,385,90,660,145,0,800,0,1080,0,550,0,1200,700,0,3050,1250,0,0,4960,880,1420,350,0,0,330,0,0,892,630,0,0,0,500,800,0,1220,0,100,0,530,5860,0,0,0,200,180
Madhya Pradesh,RURAL,No Failure,Accepted,2385.44,Grown-up - dominant,White-collar Professional Employees,Households of all literates,Balanced,3 Members,45516,4470,250,1100,525,1810,485,250,0,335,0,2965,0,650,200,215,0,618,505,550,0,400,450,2740,200,0,0,2820,0,0,340,800,0,0,0,0,1200,0,0,290,0,500,0,0,1730,750,0,0,0,0,0,1000,0,300,0
Madhya Pradesh,RURAL,No Failure,Accepted,3313.64,Balanced households with no Seniors,Small/Marginal Farmers,Matriculates majority household,Male Majority,4 Members,52312,3605,300,1620,540,0,180,0,1050,260,0,660,700,650,0,620,955,85,460,550,1440,0,0,0,300,0,0,0,1300,196,560,200,474,250,0,1150,5580,1100,0,280,900,0,0,0,430,0,0,0,0,0,2400,0,2300,1600,0
Maharashtra,RURAL,Could not be executed,Non-Response,1916.84,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,URBAN,No Failure,Accepted,2415.78,Others households of Grown-ups,Organised Farmers,Households of all literates,Male Majority,4 Members,52456,4965,740,0,280,710,360,0,185,335,280,0,950,650,650,335,447,1010,240,0,1440,600,0,0,0,0,0,3810,1000,670,1280,0,0,320,0,0,1480,0,0,270,1900,400,0,0,650,0,300,600,0,0,2200,1000,0,800,0
Uttar Pradesh,RURAL,No Failure,Accepted,2917.65,Balanced households with no Seniors,White-collar Professional Employees,Matriculates minority household,Balanced,5 Members,31291,0,550,0,260,400,440,300,295,0,0,580,655,500,480,445,1243,0,620,550,1220,0,550,0,1200,0,0,0,0,425,429,500,500,0,0,0,0,1100,0,280,700,500,600,550,1415,0,300,820,350,0,0,0,0,620,180
Uttar Pradesh,RURAL,No Failure,Accepted,1995.11,Balanced households with no Seniors,Small Traders/Hawkers,All Matriculates household,Balanced,2 Members,56492,5490,825,0,150,0,460,870,435,0,200,1750,460,0,0,0,0,420,650,0,660,0,750,3560,350,400,0,0,1200,400,0,200,1250,1280,600,480,440,758,600,465,0,0,0,1100,220,850,600,600,335,3500,2400,0,0,0,600
Uttarakhand,RURAL,Locked,Non-Response,3238.03,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,RURAL,Household not found,Non-Response,1463.65,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,RURAL,No Failure,Accepted,2477.74,Balanced households with no Seniors,Non-industrial Technical Employees,Households of all literates,Male Majority,5 Members,33740,6210,420,950,1080,1150,45,900,295,0,220,1255,650,700,0,1063,1445,0,0,0,0,0,0,0,290,0,0,2440,0,425,405,0,189,355,0,120,0,630,0,770,780,1500,200,0,0,0,0,820,360,0,0,2300,0,150,0
Bihar,URBAN,No Failure,Accepted,1406.39,Grown-up - dominant,Self-employed Entrepreneurs,Households of all literates,Female Dominated,7 Members,42150,0,550,1965,90,0,0,660,1070,335,90,1120,0,900,0,0,840,1140,610,2200,460,400,550,2950,500,0,0,2000,0,1500,1145,0,0,800,0,420,705,0,0,180,900,0,500,600,300,0,100,820,0,0,1200,0,500,0,0
Puducherry,URBAN,Locked,Non-Response,705.83,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,URBAN,Could not be executed,Non-Response,2605.64,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,RURAL,Household not found,Non-Response,903.96,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,URBAN,No Failure,Accepted,1397.68,Grown-up - dominant,Wage Labourers,Households of all literates,Balanced,3 Members,42859,4692,470,650,110,850,465,870,0,0,0,850,500,0,2500,65,1132,560,1185,0,1200,350,0,0,0,0,0,4950,0,800,500,60,250,0,0,0,920,1450,0,0,0,0,0,0,430,675,0,600,530,0,0,0,0,1200,1800
Madhya Pradesh,RURAL,No Failure,Accepted,3044.97,Youngsters - dominant,Miscellaneous,Matriculates majority household,Balanced,4 Members,36458,5490,175,0,620,0,390,0,550,0,0,765,535,2300,0,255,955,120,150,0,420,0,0,1960,0,0,0,3270,1080,2130,460,0,800,0,0,0,940,0,0,0,300,0,0,0,0,1500,0,0,160,0,0,1000,620,1100,0
Bihar,RURAL,No Failure,Accepted,1566.03,Grown-up - dominant,Organised Farmers,Households of all literates,Female Dominated,2 Members,55035,6950,490,0,500,2030,0,1300,1090,532,525,330,780,2900,0,0,518,0,260,800,1200,750,0,0,350,0,0,3716,1300,0,1260,0,499,0,0,0,440,630,0,520,0,0,1100,0,0,0,0,820,500,0,0,3400,0,1200,0
Gujarat,URBAN,Could not be executed,Non-Response,1608.69,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,URBAN,No Failure,Accepted,2595.6,Grown-up - dominant,White-collar Clerical Employees,All Matriculates household,Male Majority,4 Members,69964,5210,475,0,480,3300,280,0,0,390,0,0,0,1250,850,0,900,570,460,620,1060,0,0,0,550,0,0,4750,1819,320,440,800,0,0,0,0,1100,600,260,410,0,1200,0,0,1805,0,0,0,70,6200,0,0,2300,400,0
Rajasthan,RURAL,No Failure,Accepted,1966.9,Grown-up - dominant,Non-industrial Technical Employees,Graduates majority household,Only Females,5 Members,48594,4415,200,0,485,2200,460,1316,0,1070,525,660,1230,0,2500,155,0,1040,195,450,1440,0,0,0,0,0,0,1200,1050,1500,270,0,400,300,0,0,825,400,0,0,0,0,0,1100,0,550,0,0,360,4900,0,0,500,700,0
