srcDistrictName,srcStateName,srcYear,Country,StateCode,StateName,DistrictCode,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea,YearCode,Year
Kanchipuram,Tamil Nadu,2021,India,33,TAMIL NADU,568,CHENNAI,621995,621995,0,313849,313849,0,308146,308146,0,161160,161160,0,10591.0,0.0,10591.0,0,0,0,0.8700802250583504,0.0,2.382876823050093,0.8823333621466518,0.0,2.416531628794836,0.8576563471203761,0.0,2.348755822919785,0.7409726259509364,0.0,2.0632878114925353,3,2,0.1569321684264067,0.3128398136626594,0.24504045169749,0.313303255307435,0.0,0.0,0.1573022613807057,0.3127481265943877,0.2455822826509668,0.3131962989130651,0.0,0.0,0.1565570118281716,0.3129332529029086,0.2444910449975681,0.3134122663108207,0.0,0.0,0.1613554013910846,0.3164573118408366,0.2499069594343133,0.3169471125480848,0.0,0.0,0.161223784580302,0.389375,0.0,0.0,0.0238167267347192,0.384968246049602,2021,"Calendar Year (Jan - Dec), 2021"
Tiruvallur,Tamil Nadu,2021,India,33,TAMIL NADU,568,CHENNAI,1366227,1363286,2941,689671,688235,1436,676556,675051,1505,348103,347316,787,16609.0,311.36,16920.3599853516,0,0,0,0.2278638149579518,0.0,0.6536078460640035,0.2279775401879042,0.0,0.6575326460269777,0.2277486147722351,0.0,0.6496757012354312,0.2301074292279732,0.0,0.656924844059488,2,2,0.367303928988235,0.6871601863373406,0.5613938424350239,0.6866967446925649,0.0022777014499532,1.0,0.3684563130915142,0.6872518734056122,0.5615494451697127,0.6868037010869348,0.0022222738070366,1.0,0.3661366017542796,0.6870667470970913,0.5612352894716057,0.6865877336891792,0.0023332284284892,1.0,0.3684526392666998,0.6835426881591633,0.5645101519377425,0.6830528874519151,0.0023883369042055,1.0,0.308912695755682,0.610625,0.0010825237067563,1.0,0.0495631138476243,0.615031753950398,2021,"Calendar Year (Jan - Dec), 2021"
The Nilgiris,Tamil Nadu,2021,India,33,TAMIL NADU,569,COIMBATORE,49535,49535,0,24381,24381,0,25154,25154,0,12101,12101,0,4771.0,0.0,4771.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0.0673584500281481,0.0142721930657339,0.11370235622224,0.018837351156975,0.0,0.0,0.0676981088067795,0.0140527897505299,0.1138054650522326,0.0185415445127112,0.0,0.0,0.0670324662692437,0.0144914928588176,0.1136025941532194,0.0191332167520995,0.0,0.0,0.061223457271076,0.0126065346458325,0.1055638914090306,0.0168753364329323,0.0,0.0,0.0819351182400522,0.0289876205665679,0.0,0.0,0.020226800311685,0.0098501603027344,2021,"Calendar Year (Jan - Dec), 2021"
Coimbatore,Tamil Nadu,2021,India,33,TAMIL NADU,569,COIMBATORE,3419186,2580081,839105,1709590,1290558,419032,1709596,1289523,420073,947138,704981,242157,159816.5,290453.0,450269.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0.9887627257597862,0.9851475263885028,0.9851623175788676,0.9811626488430248,1.0,0.997605570674304,0.9886040396762384,0.9853783203973812,0.9849595310872228,0.9814584554872888,1.0,0.9976501063047148,0.9889214622374112,0.98491684127627,0.9853653504498824,0.9808667832479004,1.0,0.9975611493706956,0.9886256765149498,0.9867058930158276,0.9847781325868374,0.9831246635670676,1.0,0.9972819036558396,0.981604493540076,0.971012379433432,0.972197024161367,0.908318,0.975515353370283,0.929622040333699,2021,"Calendar Year (Jan - Dec), 2021"
Tiruppur,Tamil Nadu,2021,India,33,TAMIL NADU,569,COIMBATORE,2014,0,2014,987,0,987,1027,0,1027,660,0,660,0.0,29317.1,29317.099609375,0,0,0,0.0381597481617973,0.0,0.0987534722910909,0.0388393455409783,0.0,0.100978700587721,0.0374728382755032,0.0,0.0965250965250965,0.0377697589194198,0.0,0.0949902361337208,3,3,0.0008127174543784,0.0005802805457633,0.0,0.0,0.0021045042032612,0.0023944293256958,0.0007923415015955,0.0005688898520886,0.0,0.0,0.0020612958805409,0.0023498936952852,0.0008333123720516,0.0005916658649123,0.0,0.0,0.0021477717129891,0.0024388506293042,0.0009270431117185,0.0006875723383397,0.0,0.0,0.0023328314211184,0.0027180963441604,0.0,0.0,0.0697970168939707,0.0916818,0.0582512896000782,0.0605277993635667,2021,"Calendar Year (Jan - Dec), 2021"
Cuddalore,Tamil Nadu,2021,India,33,TAMIL NADU,570,CUDDALORE,2605914,885189,1720725,1311697,442836,868861,1294217,442353,851864,635578,212105,423473,45932.0,333082.0,379014.28125,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021"
Dharmapuri,Tamil Nadu,2021,India,33,TAMIL NADU,571,DHARMAPURI,1506843,260912,1245931,774303,131088,643215,732540,129824,602716,375873,65464,310409,8957.0,442639.0,451596.0625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021"
Dindigul,Tamil Nadu,2021,India,33,TAMIL NADU,572,DINDIGUL,2159775,808040,1351735,1080938,402333,678605,1078837,405707,673130,560773,209803,350970,56279.0,477357.0,533636.46875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1.0,0.9999476824724244,1.0,1.0,1.0,0.999916410720732,1.0,0.9999509709146513,1.0,1.0,1.0,0.9999219047001582,1.0,0.999944387647755,1.0,1.0,1.0,0.9999108721163416,1.0,0.9999482883441928,1.0,1.0,1.0,0.9999173786819904,1.0,1.0,1.0,0.979324,1.0,0.981464345547053,2021,"Calendar Year (Jan - Dec), 2021"
Tiruppur,Tamil Nadu,2021,India,33,TAMIL NADU,572,DINDIGUL,113,0,113,53,0,53,60,0,60,29,0,29,0.0,10078.1,10078.10546875,0,0,0,0.0381597481617973,0.0,0.0987534722910909,0.0388393455409783,0.0,0.100978700587721,0.0374728382755032,0.0,0.0965250965250965,0.0377697589194198,0.0,0.0949902361337208,3,2,4.55993407868e-05,5.23175275755e-05,0.0,0.0,0.000118077941891,8.3589279268e-05,4.25472133582e-05,4.90290853485e-05,0.0,0.0,0.0001106876207382,7.80952998417e-05,4.8684267111e-05,5.56123522449e-05,0.0,0.0,0.0001254783863479,8.91278836584e-05,4.07337124846e-05,5.17116558072e-05,0.0,0.0,0.0001025031988067,8.26213180094e-05,0.0,0.0,0.0239935637233576,0.0206758,0.0200245811523783,0.0185356544529471,2021,"Calendar Year (Jan - Dec), 2021"
Erode,Tamil Nadu,2021,India,33,TAMIL NADU,573,ERODE,2226996,1148319,1078677,1117519,572665,544854,1109477,575654,533823,650869,331641,319228,73829.0,495202.0,569030.9375,0,0,0,0.670191638125826,0.0,1.379725865082906,0.6672460853834253,0.0,1.3647891989941945,0.6731581743436886,0.0,1.3949665204340798,0.6494739929278147,0.0,1.3211664842875779,2,2,0.995682387925172,0.9941058834032676,0.9916604489212212,0.9886321665606276,1.0,1.0,0.9957142691670624,0.9940243916540727,0.9916706350924283,0.9884049065989164,1.0,1.0,0.9956502776571265,0.9941879793505698,0.9916503158478625,0.9888583502250315,1.0,1.0,0.9955215456785516,0.9948170452113838,0.9912484420254116,0.9898785787626256,1.0,1.0,0.96095224459514,0.993099459255872,1.0,1.0,0.994755528410559,0.999099279324697,2021,"Calendar Year (Jan - Dec), 2021"
