srcDistrictName,srcStateName,srcYear,Country,StateCode,StateName,DistrictCode,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea,YearCode,Year,DISTRICT_KEY,Unnamed: 0,District Names,State/UT,Number of Households surveyed,Number of Women age 15-49 years interviewed,Number of Men age 15-54 years interviewed,Female population age 6 years and above who ever attended school (%),Population below age 15 years (%)," Sex ratio of the total population (females per 1,000 males)","Sex ratio at birth for children born in the last five years (females per 1,000 males)",Children under age 5 years whose birth was registered with the civil authority (%),Deaths in the last 3 years registered with the civil authority (%),Population living in households with electricity (%),Population living in households with an improved drinking-water source1 (%),Population living in households that use an improved sanitation facility2 (%),Households using clean fuel for cooking3 (%),Households using iodized salt (%),Households with any usual member covered under a health insurance/financing scheme (%),Children age 5 years who attended pre-primary school during the school year 2019-20 (%),Women (age 15-49) who are literate4 (%),Women (age 15-49)  with 10 or more years of schooling (%),Women age 20-24 years married before age 18 years (%),Births in the 5 years preceding the survey that are third or higher order (%),Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Male sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Condom (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Injectables (%),Total Unmet need for Family Planning (Currently Married Women Age 15-49  years)7 (%),Unmet need for spacing (Currently Married Women Age 15-49  years)7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method of family planning8 (%),Mothers who had an antenatal check-up in the first trimester  (for last birth in the 5 years before the survey) (%),Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey)9 (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey} (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey) (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (for last birth in the 5 years before the survey} (%),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Institutional births (in the 5 years before the survey) (%),Institutional births in public facility (in the 5 years before the survey) (%),Home births that were conducted by skilled health personnel  (in the 5 years before the survey)10 (%),Births attended by skilled health personnel (in the 5 years before the survey)10 (%),Births delivered by caesarean section (in the 5 years before the survey) (%),Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),Children age 12-23 months who have received BCG (%),Children age 12-23 months who have received 3 doses of polio vaccine13 (%),Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Children age 12-23 months who received most of their vaccinations in a public health facility (%),Children age 12-23 months who received most of their vaccinations in a private health facility (%),Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (Children under age 5 years) (%) ,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (Children under age 5 years) (%) ,Children swith diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%) ,Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%)  ,Children under age 3 years breastfed within one hour of birth15 (%),Children under age 6 months exclusively breastfed16 (%),Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)","Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)","Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),All women age 15-49 years who are anaemic22 (%),All women age 15-19 years who are anaemic22 (%) ,Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level23 (%),Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level23 (%),Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Men age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Women age 15 years and above who consume alcohol (%),Men age 15 years and above who consume alcohol (%)
Kanchipuram,Tamil Nadu,2021,India,33,TAMIL NADU,568,CHENNAI,621995,621995,0,313849,313849,0,308146,308146,0,161160,161160,0,10591.0,0.0,10591.0,0,0,0,0.8700802250583504,0.0,2.382876823050093,0.8823333621466518,0.0,2.416531628794836,0.8576563471203761,0.0,2.348755822919785,0.7409726259509364,0.0,2.0632878114925353,3,2,0.1569321684264067,0.3128398136626594,0.24504045169749,0.313303255307435,0.0,0.0,0.1573022613807057,0.3127481265943877,0.2455822826509668,0.3131962989130651,0.0,0.0,0.1565570118281716,0.3129332529029086,0.2444910449975681,0.3134122663108207,0.0,0.0,0.1613554013910846,0.3164573118408366,0.2499069594343133,0.3169471125480848,0.0,0.0,0.161223784580302,0.389375,0.0,0.0,0.0238167267347192,0.384968246049602,2021,"Calendar Year (Jan - Dec), 2021",CHENNAI,529,Chennai ,Tamil Nadu,743,660,101,92.7,18.0,1037,859 ,98.2,(98.8),99.9,98.7,90.4,97.7,97.0,58.2,,96.1,76.7,1.9 ,1.0,3.0 ,100.0,65.8,63.6,55.7,0.4,4.9,0.0,1.7,0.0,6.9,2.5,23.0,86.6 ,81.4 ,89.9 ,96.1 ,86.3 ,75.5 ,96.8 ,95.0 ,3951 ,,96.7 ,100.0,60.1,0.0,100.0,50.5,62.5 ,42.5 ,(96.6),(100.0),(100.0),(96.6),(100.0),(96.6),(48.7),(45.7),(100.0),56.4 ,(74.8),(25.2),4.1,,,,1.0,,75.0 ,,,(13.1),,(15.1),20.4 ,18.3 ,7.6 ,21.9 ,9.4 ,7.4,41.9,59.5,55.3 ,50.5,,50.3,52.8 ,10.6,14.2,27.2,10.7,8.4,22.1,16.0,7.0,28.8,21.1,7.6,33.2,8.6,6.3,1.1,0.7,8.9,0.1,16.1
The Nilgiris,Tamil Nadu,2021,India,33,TAMIL NADU,569,COIMBATORE,49535,49535,0,24381,24381,0,25154,25154,0,12101,12101,0,4771.0,0.0,4771.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0.0673584500281481,0.0142721930657339,0.11370235622224,0.018837351156975,0.0,0.0,0.0676981088067795,0.0140527897505299,0.1138054650522326,0.0185415445127112,0.0,0.0,0.0670324662692437,0.0144914928588176,0.1136025941532194,0.0191332167520995,0.0,0.0,0.061223457271076,0.0126065346458325,0.1055638914090306,0.0168753364329323,0.0,0.0,0.0819351182400522,0.0289876205665679,0.0,0.0,0.020226800311685,0.0098501603027344,2021,"Calendar Year (Jan - Dec), 2021",COIMBATORE,558,Coimbatore ,Tamil Nadu,877,763,95,84.2,19.3,1061,952 ,98.5,96.2 ,99.4,99.9,78.5,95.5,98.8,61.0,(52.9),90.6,62.8,19.8 ,1.3,10.3 ,99.7,66.5,62.0,53.1,0.0,5.0,0.0,3.1,0.0,9.1,2.0,40.9,88.8 ,72.6 ,90.0 ,91.8 ,91.5 ,76.0 ,100.0 ,95.4 ,5609 ,,98.6 ,100.0,60.1,0.0,100.0,50.9,73.3 ,35.9 ,(94.5),(94.5),(100.0),(98.3),(94.5),(98.3),(50.2),(86.9),(90.8),75.2 ,(78.0),(22.0),2.9,,,,1.2,,65.0 ,,,(9.4),,(11.6),23.0 ,7.0 ,2.7 ,18.5 ,4.2 ,10.1,50.0,56.8,37.8 ,48.8,(51.0),48.9,51.4 ,6.8,10.3,19.1,7.7,9.0,18.3,17.1,7.9,29.2,23.3,7.6,33.3,13.3,8.4,1.1,5.5,21.4,0.5,22.9
Cuddalore,Tamil Nadu,2021,India,33,TAMIL NADU,570,CUDDALORE,2605914,885189,1720725,1311697,442836,868861,1294217,442353,851864,635578,212105,423473,45932.0,333082.0,379014.28125,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021",CUDDALORE,543,Cuddalore ,Tamil Nadu,876,859,98,76.8,22.9,1062,819 ,99.1,83.3 ,99.2,99.5,61.3,75.6,88.1,64.4,(15.9),80.5,50.1,12.6 ,0.8,4.9 ,99.1,65.3,63.5,58.1,0.0,2.7,0.4,1.8,0.0,9.2,3.6,24.0,75.1 ,75.5 ,82.2 ,88.1 ,68.5 ,52.6 ,98.3 ,87.7 ,3803 ,,93.9 ,99.2,72.5,0.4,99.1,51.4,64.5 ,47.1 ,(79.0),(77.3),(88.6),(84.8),(91.5),(97.3),(50.6),(68.0),(91.5),72.7 ,(97.2),(2.8),3.4,,,,1.6,(82.6),61.7 ,,,(12.3),,23.2 ,20.2 ,13.9 ,4.0 ,18.0 ,1.6 ,14.8,35.1,55.2,64.8 ,58.6,,58.6,55.6 ,8.3,11.0,20.5,7.4,11.5,20.7,11.8,4.5,20.1,16.9,8.3,27.0,7.1,4.6,0.6,7.5,24.4,0.6,32.6
Dharmapuri,Tamil Nadu,2021,India,33,TAMIL NADU,571,DHARMAPURI,1506843,260912,1245931,774303,131088,643215,732540,129824,602716,375873,65464,310409,8957.0,442639.0,451596.0625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021",DHARMAPURI,556,Dharmapuri ,Tamil Nadu,911,827,101,72.6,23.8,1192,1052 ,93.0,87.1 ,99.4,98.7,72.4,82.5,93.4,75.5,(17.8),80.6,54.4,16.7 ,0.6,6.4 ,97.5,70.0,68.0,61.1,0.0,6.4,0.0,0.4,0.0,8.5,3.5,36.3,95.5 ,78.4 ,94.5 ,95.9 ,92.7 ,73.5 ,100.0 ,98.0 ,2808 ,,95.9 ,99.6,73.0,0.0,99.6,29.1,61.0 ,17.6 ,90.6 ,(96.1),98.0 ,90.6 ,96.4 ,96.4 ,50.5 ,69.6 ,94.5 ,66.2 ,97.8 ,2.2 ,3.2,,,,0.0,,74.4 ,,,3.6 ,,8.1 ,28.7 ,16.9 ,6.5 ,23.2 ,8.9 ,12.9,33.4,46.5,54.2 ,42.0,,42.5,31.9 ,5.7,8.4,15.4,8.0,7.6,18.1,15.0,8.1,25.8,20.6,8.3,30.8,1.8,1.2,0.8,7.9,24.6,0.7,26.8
Dindigul,Tamil Nadu,2021,India,33,TAMIL NADU,572,DINDIGUL,2159775,808040,1351735,1080938,402333,678605,1078837,405707,673130,560773,209803,350970,56279.0,477357.0,533636.46875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1.0,0.9999476824724244,1.0,1.0,1.0,0.999916410720732,1.0,0.9999509709146513,1.0,1.0,1.0,0.9999219047001582,1.0,0.999944387647755,1.0,1.0,1.0,0.9999108721163416,1.0,0.9999482883441928,1.0,1.0,1.0,0.9999173786819904,1.0,1.0,1.0,0.979324,1.0,0.981464345547053,2021,"Calendar Year (Jan - Dec), 2021",DINDIGUL,538,Dindigul ,Tamil Nadu,924,951,142,77.8,24.4,1066,816 ,97.9,97.0 ,98.8,99.5,61.0,76.3,81.6,71.9,(38.0),81.0,50.1,20.5 ,0.8,8.6 ,98.9,74.2,71.4,62.2,0.0,6.9,0.8,1.1,0.3,6.3,2.8,29.8,84.8 ,71.9 ,96.2 ,87.4 ,85.7 ,63.6 ,99.1 ,95.3 ,2828 ,,96.2 ,97.0,74.6,1.4,98.6,33.3,55.0 ,28.1 ,92.6 ,96.4 ,97.6 ,92.6 ,95.6 ,96.0 ,53.9 ,72.5 ,89.8 ,84.0 ,98.5 ,1.5 ,2.3,,,,0.4,,55.2 ,(36.4),,20.1 ,(21.7),20.7 ,27.1 ,21.1 ,8.2 ,28.4 ,2.2 ,12.9,38.5,71.6,50.2 ,42.9,(34.6),42.6,41.4 ,8.2,12.1,22.1,11.9,12.0,25.1,16.6,5.7,25.7,24.3,6.8,34.2,5.8,2.1,0.7,6.5,27.7,0.1,26.0
Erode,Tamil Nadu,2021,India,33,TAMIL NADU,573,ERODE,2226996,1148319,1078677,1117519,572665,544854,1109477,575654,533823,650869,331641,319228,73829.0,495202.0,569030.9375,0,0,0,0.670191638125826,0.0,1.379725865082906,0.6672460853834253,0.0,1.3647891989941945,0.6731581743436886,0.0,1.3949665204340798,0.6494739929278147,0.0,1.3211664842875779,2,2,0.995682387925172,0.9941058834032676,0.9916604489212212,0.9886321665606276,1.0,1.0,0.9957142691670624,0.9940243916540727,0.9916706350924283,0.9884049065989164,1.0,1.0,0.9956502776571265,0.9941879793505698,0.9916503158478625,0.9888583502250315,1.0,1.0,0.9955215456785516,0.9948170452113838,0.9912484420254116,0.9898785787626256,1.0,1.0,0.96095224459514,0.993099459255872,1.0,1.0,0.994755528410559,0.999099279324697,2021,"Calendar Year (Jan - Dec), 2021",ERODE,536,Erode ,Tamil Nadu,877,774,110,73.1,18.2,1112,807 ,99.6,93.8 ,99.6,98.9,67.6,95.9,97.6,77.7,(20.7),83.1,57.8,13.7 ,0.3,14.8 ,98.7,70.6,67.4,61.3,0.0,3.6,0.4,1.8,0.2,4.9,2.0,51.5,96.4 ,87.8 ,93.9 ,97.5 ,82.2 ,51.3 ,100.0 ,96.5 ,2401 ,,98.4 ,100.0,51.4,0.0,100.0,48.5,68.5 ,29.6 ,(95.9),(97.2),(100.0),(95.9),(100.0),(100.0),(60.7),(53.8),(100.0),64.2 ,(92.3),(7.8),1.5,,,,0.0,,69.9 ,,,(14.8),,19.1 ,19.4 ,20.9 ,11.2 ,26.9 ,2.8 ,11.4,37.1,58.5,46.5 ,55.3,,55.4,64.2 ,6.4,8.3,16.6,6.2,6.9,16.1,17.0,9.0,29.5,25.7,6.7,36.1,15.1,8.7,0.7,11.1,26.2,0.1,23.5
Kanyakumari,Tamil Nadu,2021,India,33,TAMIL NADU,575,KANNIYAKUMARI,1870374,1539802,330572,926345,761407,164938,944029,778395,165634,483539,398061,85478,66284.0,101968.0,168252.0078125,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021",KANNIYAKUMARI,555,Kanniyakumari ,Tamil Nadu,839,711,103,92.9,20.8,1121,880 ,98.9,100.0 ,99.8,98.2,96.2,74.4,97.2,64.1,(28.4),98.0,77.1,4.3 ,0.0,4.0 ,98.6,70.3,66.6,60.8,0.0,2.9,0.0,1.5,0.0,4.9,3.4,29.8,86.8 ,65.6 ,84.2 ,87.1 ,90.3 ,74.0 ,97.3 ,86.0 ,3170 ,,88.2 ,100.0,39.4,0.0,100.0,68.3,78.0 ,53.3 ,(96.0),(96.0),(100.0),(96.0),(100.0),(100.0),(29.8),(66.7),(100.0),78.4 ,(81.9),(18.1),0.9,,,,0.0,,46.9 ,,,(21.3),,22.1 ,17.3 ,11.4 ,2.7 ,14.5 ,2.8 ,5.9,53.0,66.3,39.1 ,45.5,(46.5),45.6,39.3 ,9.3,18.0,29.0,8.4,14.9,25.2,13.5,6.3,24.4,19.5,6.1,30.2,13.1,3.9,0.8,1.0,11.0,0.2,14.8
Karur,Tamil Nadu,2021,India,33,TAMIL NADU,576,KARUR,1064493,434517,629976,528184,215556,312628,536309,218961,317348,287095,118699,168396,28350.0,257805.0,286154.703125,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021",KARUR,539,Karur ,Tamil Nadu,862,689,93,73.2,19.1,1154,839 ,98.6,95.6 ,98.7,99.4,63.6,72.5,94.2,74.6,(30.0),80.5,51.2,13.3 ,0.8,3.3 ,97.9,65.8,63.5,58.3,0.0,3.9,0.0,0.9,0.4,7.5,2.3,30.3,77.6 ,83.3 ,95.7 ,82.7 ,68.7 ,46.4 ,97.3 ,96.4 ,2586 ,,91.9 ,100.0,56.8,0.0,99.2,47.8,64.1 ,35.4 ,(82.5),(84.0),(94.5),(89.1),(84.7),(93.9),(22.0),(43.1),(84.7),48.5 ,(97.7),(2.3),5.6,,,,0.7,,42.2 ,,,(5.5),,13.3 ,33.6 ,18.4 ,8.7 ,36.3 ,2.4 ,17.9,34.7,53.3,73.2 ,65.5,,65.0,60.7 ,9.4,12.7,23.4,10.8,16.2,28.9,12.9,7.1,24.1,18.9,6.1,29.1,12.1,5.8,0.2,5.9,25.5,0.4,29.0
Krishnagiri,Tamil Nadu,2021,India,33,TAMIL NADU,577,KRISHNAGIRI,1879809,428363,1451446,960232,217788,742444,919577,210575,709002,448053,105194,342859,16327.0,500778.0,517105.34375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021",KRISHNAGIRI,557,Krishnagiri ,Tamil Nadu,922,909,130,72.6,24.2,1053,857 ,98.7,94.8 ,99.2,99.8,75.9,86.0,95.2,73.6,12.8 ,79.9,53.9,20.3 ,1.4,9.5 ,98.1,70.0,67.7,60.7,0.2,6.0,0.0,0.4,0.4,4.9,1.9,40.2,98.7 ,84.5 ,93.1 ,93.7 ,93.7 ,74.3 ,99.5 ,95.5 ,2081 ,,94.0 ,99.6,75.9,0.4,100.0,31.9,59.7 ,23.4 ,87.3 ,90.3 ,96.7 ,87.3 ,91.1 ,91.1 ,42.3 ,60.2 ,84.2 ,68.5 ,98.5 ,1.6 ,1.1,,,,0.4,,76.5 ,,,(6.1),(8.8),7.1 ,29.0 ,10.4 ,4.7 ,19.3 ,10.1 ,11.7,34.5,51.2,46.5 ,44.3,(33.3),44.0,39.4 ,4.9,7.8,14.0,6.7,7.4,15.0,14.9,6.2,23.5,16.4,7.3,25.3,0.9,0.4,0.6,8.2,20.3,0.2,22.7
Madurai,Tamil Nadu,2021,India,33,TAMIL NADU,578,MADURAI,3038252,1846801,1191451,1526475,925228,601247,1511777,921573,590204,794887,479851,315036,31745.0,360594.0,392339.25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,"Calendar Year (Jan - Dec), 2021",MADURAI,549,Madurai ,Tamil Nadu,914,844,131,83.9,19.9,1079,815 ,100.0,97.9 ,98.9,98.7,80.1,91.2,88.4,66.3,(24.9),87.3,58.6,11.5 ,0.5,4.0 ,98.2,69.7,68.4,58.3,0.0,6.4,0.6,3.1,0.0,8.7,4.2,21.5,88.0 ,70.0 ,89.5 ,85.6 ,71.0 ,59.7 ,100.0 ,91.4 ,3317 ,,94.5 ,100.0,70.0,0.0,100.0,43.8,66.1 ,34.3 ,(88.8),(92.9),(95.5),(90.8),(93.6),(95.5),(42.4),(69.9),(89.4),66.6 ,(92.8),(7.2),4.3,,,,0.6,,55.0 ,,,(17.1),,25.0 ,32.4 ,9.5 ,3.9 ,21.5 ,4.7 ,12.2,40.8,58.2,54.3 ,48.3,,48.0,46.9 ,7.9,11.0,21.2,9.5,11.3,22.7,15.9,5.4,25.6,22.4,6.0,31.8,12.1,2.4,0.4,0.8,20.3,0.4,24.5
