Unnamed: 0,District Names,State/UT,Number of Households surveyed,Number of Women age 15-49 years interviewed,Number of Men age 15-54 years interviewed,Female population age 6 years and above who ever attended school (%),Population below age 15 years (%)," Sex ratio of the total population (females per 1,000 males)","Sex ratio at birth for children born in the last five years (females per 1,000 males)",Children under age 5 years whose birth was registered with the civil authority (%),Deaths in the last 3 years registered with the civil authority (%),Population living in households with electricity (%),Population living in households with an improved drinking-water source1 (%),Population living in households that use an improved sanitation facility2 (%),Households using clean fuel for cooking3 (%),Households using iodized salt (%),Households with any usual member covered under a health insurance/financing scheme (%),Children age 5 years who attended pre-primary school during the school year 2019-20 (%),Women (age 15-49) who are literate4 (%),Women (age 15-49)  with 10 or more years of schooling (%),Women age 20-24 years married before age 18 years (%),Births in the 5 years preceding the survey that are third or higher order (%),Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Male sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Condom (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Injectables (%),Total Unmet need for Family Planning (Currently Married Women Age 15-49  years)7 (%),Unmet need for spacing (Currently Married Women Age 15-49  years)7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method of family planning8 (%),Mothers who had an antenatal check-up in the first trimester  (for last birth in the 5 years before the survey) (%),Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey)9 (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey} (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey) (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (for last birth in the 5 years before the survey} (%),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Institutional births (in the 5 years before the survey) (%),Institutional births in public facility (in the 5 years before the survey) (%),Home births that were conducted by skilled health personnel  (in the 5 years before the survey)10 (%),Births attended by skilled health personnel (in the 5 years before the survey)10 (%),Births delivered by caesarean section (in the 5 years before the survey) (%),Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),Children age 12-23 months who have received BCG (%),Children age 12-23 months who have received 3 doses of polio vaccine13 (%),Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Children age 12-23 months who received most of their vaccinations in a public health facility (%),Children age 12-23 months who received most of their vaccinations in a private health facility (%),Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (Children under age 5 years) (%) ,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (Children under age 5 years) (%) ,Children swith diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%) ,Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%)  ,Children under age 3 years breastfed within one hour of birth15 (%),Children under age 6 months exclusively breastfed16 (%),Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)","Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)","Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),All women age 15-49 years who are anaemic22 (%),All women age 15-19 years who are anaemic22 (%) ,Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level23 (%),Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level23 (%),Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Men age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Women age 15 years and above who consume alcohol (%),Men age 15 years and above who consume alcohol (%)
528,Thiruvallur ,Tamil Nadu,806,775,124,83.5,21.6,979,991 ,97.0,94.3 ,99.8,100.0,75.6,93.4,83.8,57.4,(38.6),85.9,57.2,13.4 ,1.1,5.8 ,98.8,67.9,66.0,59.1,0.0,3.8,0.7,2.2,0.2,9.3,3.4,21.9,61.3 ,77.6 ,85.4 ,76.8 ,75.0 ,53.5 ,95.6 ,90.3 ,3668 ,,95.2 ,100.0,72.3,0.0,100.0,46.4,63.0 ,40.1 ,(88.6),(88.6),(98.0),(95.7),(90.9),(98.0),(44.3),(59.2),(88.6),62.9 ,(80.0),(20.0),5.2,,,,3.9,(57.4),56.2 ,,,(23.4),,26.3 ,18.1 ,17.0 ,3.6 ,20.6 ,2.1 ,10.5,48.6,49.7,58.4 ,56.9,,56.8,64.4 ,6.3,12.1,22.5,6.4,14.1,23.4,13.2,6.3,26.4,19.6,9.3,32.4,10.8,7.9,3.9,1.7,18.3,0.1,26.7
529,Chennai ,Tamil Nadu,743,660,101,92.7,18.0,1037,859 ,98.2,(98.8),99.9,98.7,90.4,97.7,97.0,58.2,,96.1,76.7,1.9 ,1.0,3.0 ,100.0,65.8,63.6,55.7,0.4,4.9,0.0,1.7,0.0,6.9,2.5,23.0,86.6 ,81.4 ,89.9 ,96.1 ,86.3 ,75.5 ,96.8 ,95.0 ,3951 ,,96.7 ,100.0,60.1,0.0,100.0,50.5,62.5 ,42.5 ,(96.6),(100.0),(100.0),(96.6),(100.0),(96.6),(48.7),(45.7),(100.0),56.4 ,(74.8),(25.2),4.1,,,,1.0,,75.0 ,,,(13.1),,(15.1),20.4 ,18.3 ,7.6 ,21.9 ,9.4 ,7.4,41.9,59.5,55.3 ,50.5,,50.3,52.8 ,10.6,14.2,27.2,10.7,8.4,22.1,16.0,7.0,28.8,21.1,7.6,33.2,8.6,6.3,1.1,0.7,8.9,0.1,16.1
530,Kancheepuram ,Tamil Nadu,816,796,102,85.0,19.2,1002,889 ,97.5,93.8 ,99.4,99.4,75.9,88.1,88.8,59.7,(44.2),84.5,56.8,10.0 ,0.0,2.5 ,97.8,69.3,67.3,59.6,0.2,4.7,0.2,2.3,0.2,7.2,4.2,15.7,62.1 ,62.6 ,76.1 ,76.8 ,73.5 ,47.9 ,97.6 ,87.3 ,3531 ,,93.0 ,100.0,68.5,0.0,100.0,40.2,60.2 ,31.0 ,(69.1),(81.5),(97.1),(74.8),(92.3),(88.4),(36.4),(54.3),(86.1),67.9 ,(83.1),(16.9),3.1,,,,2.3,,54.2 ,,,(20.1),,(21.7),20.6 ,15.7 ,6.9 ,19.8 ,3.0 ,12.6,46.4,48.9,68.8 ,57.0,,57.0,62.7 ,6.7,13.2,22.9,6.0,15.1,24.3,12.2,6.5,24.3,18.9,8.6,32.0,6.8,6.8,1.7,4.5,17.5,0.8,28.9
531,Vellore ,Tamil Nadu,880,886,108,80.0,22.4,1070,722 ,96.5,91.7 ,99.3,97.7,76.2,85.3,93.8,71.4,(16.6),84.7,52.5,14.9 ,1.9,4.9 ,98.5,65.2,63.2,59.5,0.0,3.1,0.0,0.5,0.2,6.7,3.6,32.7,98.9 ,84.4 ,95.4 ,96.8 ,94.2 ,84.6 ,100.0 ,98.6 ,2272 ,,96.7 ,99.5,67.6,0.5,100.0,42.4,43.9 ,42.1 ,92.7 ,97.2 ,97.0 ,93.9 ,94.3 ,95.5 ,46.4 ,80.8 ,91.2 ,71.6 ,86.1 ,13.9 ,2.8,,,,0.3,,76.4 ,,,8.8 ,,9.9 ,29.8 ,13.1 ,2.5 ,19.7 ,4.2 ,11.4,45.4,51.5,60.9 ,50.7,,50.6,47.2 ,8.1,11.1,20.4,8.0,12.4,21.4,14.1,7.1,25.9,16.8,6.4,25.6,1.8,0.5,0.2,4.3,14.4,0.3,23.0
532,Tiruvannamalai ,Tamil Nadu,874,786,108,75.5,20.9,1109,848 ,97.6,91.6 ,99.0,98.5,61.7,70.7,90.3,69.6,(24.8),81.7,50.2,11.6 ,3.2,8.5 ,98.7,71.9,68.7,64.5,0.0,3.1,0.0,1.0,0.2,5.1,3.3,28.0,76.9 ,81.2 ,97.7 ,94.3 ,84.5 ,63.5 ,100.0 ,98.1 ,2724 ,,98.6 ,99.1,85.8,0.0,99.1,27.7,(70.1),21.5 ,(97.1),(92.6),(97.1),(97.1),(97.1),(97.1),(36.5),(76.2),(97.1),64.3 ,(100.0),(0.0),6.0,,,,2.6,,61.5 ,,,(2.5),,3.6 ,30.6 ,14.8 ,4.0 ,25.0 ,3.3 ,12.6,37.8,50.3,64.7 ,56.3,,56.6,49.3 ,6.7,10.1,18.8,8.0,12.1,21.8,12.3,3.9,19.2,16.5,6.2,25.8,8.0,4.3,0.6,4.8,17.2,0.2,24.2
533,Viluppuram ,Tamil Nadu,859,812,109,73.6,24.8,1120,916 ,100.0,93.0 ,99.7,98.4,53.8,68.6,88.1,77.6,(29.0),77.8,45.7,19.0 ,2.9,7.9 ,98.3,71.6,68.6,62.6,0.2,3.2,0.7,1.3,0.2,7.4,1.8,24.6,75.8 ,80.1 ,94.9 ,95.4 ,72.7 ,44.8 ,96.0 ,88.1 ,3255 ,,94.0 ,99.1,84.3,0.5,100.0,28.0,(56.3),23.3 ,(88.5),(81.6),(100.0),(88.5),(97.1),(97.1),(29.0),(55.6),(97.1),73.2 ,(91.1),(8.9),5.6,,,,1.4,(67.0),59.6 ,,,(12.7),,19.8 ,23.9 ,12.4 ,3.4 ,20.5 ,0.0 ,17.2,37.0,45.0,73.4 ,62.6,,62.5,67.2 ,6.6,9.2,17.7,6.7,11.7,19.9,10.0,4.2,19.0,16.6,7.1,26.1,14.7,8.8,3.7,8.8,25.1,0.2,38.1
534,Salem ,Tamil Nadu,882,754,99,74.4,20.1,1057,900 ,97.4,91.9 ,99.5,97.6,64.5,84.5,95.7,67.5,(3.4),83.2,51.3,23.7 ,1.0,8.9 ,98.6,69.0,64.1,56.0,0.0,4.0,1.1,2.1,0.6,5.6,1.4,41.7,86.8 ,74.7 ,85.0 ,89.3 ,82.2 ,50.8 ,100.0 ,92.9 ,3965 ,,96.0 ,100.0,63.7,0.0,100.0,43.0,49.5 ,39.4 ,(77.0),(81.8),(95.8),(84.4),(87.9),(84.3),(29.3),(69.1),(87.8),67.8 ,(84.5),(15.5),0.7,,,,1.6,,72.0 ,,,,,(6.7),23.6 ,10.1 ,4.3 ,20.8 ,6.3 ,10.1,40.3,53.0,51.3 ,46.5,,46.3,40.9 ,7.7,8.3,18.0,8.7,11.2,22.7,16.4,6.5,26.6,24.2,7.8,34.0,15.6,14.6,1.7,6.5,23.5,0.2,24.1
535,Namakkal ,Tamil Nadu,888,700,109,73.5,17.3,1142,1130 ,97.6,93.6 ,99.2,99.5,75.2,89.7,95.7,68.8,,88.9,55.7,14.2 ,0.6,6.5 ,97.8,65.2,62.3,55.3,0.0,4.1,0.0,1.9,0.6,6.5,2.3,32.9,85.5 ,76.2 ,97.8 ,96.3 ,87.5 ,71.0 ,100.0 ,94.8 ,3435 ,,89.9 ,100.0,59.8,0.0,100.0,53.7,66.5 ,45.1 ,(83.9),(84.4),(92.5),(87.6),(96.2),(96.2),(52.1),(73.8),(87.3),66.2 ,(91.0),(9.0),4.0,,,,0.0,,53.9 ,,,(7.1),,12.9 ,25.2 ,10.3 ,4.3 ,15.7 ,6.3 ,9.4,43.2,58.3,67.9 ,51.9,,51.9,50.3 ,8.0,9.9,19.7,9.5,12.4,24.0,14.1,7.3,25.6,20.8,8.0,31.5,1.7,1.0,0.0,6.6,19.8,0.1,27.1
536,Erode ,Tamil Nadu,877,774,110,73.1,18.2,1112,807 ,99.6,93.8 ,99.6,98.9,67.6,95.9,97.6,77.7,(20.7),83.1,57.8,13.7 ,0.3,14.8 ,98.7,70.6,67.4,61.3,0.0,3.6,0.4,1.8,0.2,4.9,2.0,51.5,96.4 ,87.8 ,93.9 ,97.5 ,82.2 ,51.3 ,100.0 ,96.5 ,2401 ,,98.4 ,100.0,51.4,0.0,100.0,48.5,68.5 ,29.6 ,(95.9),(97.2),(100.0),(95.9),(100.0),(100.0),(60.7),(53.8),(100.0),64.2 ,(92.3),(7.8),1.5,,,,0.0,,69.9 ,,,(14.8),,19.1 ,19.4 ,20.9 ,11.2 ,26.9 ,2.8 ,11.4,37.1,58.5,46.5 ,55.3,,55.4,64.2 ,6.4,8.3,16.6,6.2,6.9,16.1,17.0,9.0,29.5,25.7,6.7,36.1,15.1,8.7,0.7,11.1,26.2,0.1,23.5
537,The Nilgiris ,Tamil Nadu,904,850,120,85.2,19.7,1093,1035 ,98.7,96.6 ,98.6,96.4,83.6,81.5,98.4,74.5,29.3 ,90.6,63.4,11.1 ,0.0,4.5 ,96.7,77.9,74.7,68.9,0.0,4.5,0.2,1.0,0.1,6.0,1.6,35.3,88.9 ,80.0 ,92.5 ,94.1 ,93.8 ,76.4 ,99.4 ,91.5 ,3438 ,,90.9 ,100.0,62.2,0.0,100.0,42.3,56.6 ,33.6 ,(90.1),(98.0),(100.0),(91.9),(100.0),(96.2),(38.5),(81.9),(95.8),69.4 ,(92.1),(7.9),1.3,,,,0.0,,66.1 ,,,(20.8),,18.8 ,26.7 ,17.3 ,7.7 ,23.2 ,8.5 ,10.8,39.5,62.2,45.9 ,44.4,,44.2,37.7 ,5.4,6.5,13.6,8.2,5.9,15.0,20.0,10.9,34.2,21.9,9.8,32.9,23.2,12.3,1.2,6.8,21.5,1.1,25.9
